spectrogram_path,original_wav,label,gun_type,dataset
data/processed/spectrograms/firearms_58__high-standard-22lr_132.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_132.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_160.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_160.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_150.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_150.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_080.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_080.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_266_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_266_aug_noise.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_273_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_273_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_203.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_203.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_134.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_134.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_079.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_079.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_089.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_089.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_024.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_024.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_107.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_107.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_249_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_249_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_215.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_215.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_126.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_126.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_231_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_231_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_077.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_077.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_112.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_112.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_287_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_287_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_200.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_200.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_027.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_027.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_252_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_252_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_059.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_059.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_242_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_242_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_022.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_022.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_040.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_040.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_251_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_251_aug_noise.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_004.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_004.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_084.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_084.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_269_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_269_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_286_aug_time_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_286_aug_time_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_262_aug_pitch_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_262_aug_pitch_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_201.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_201.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_197.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_197.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_224.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_224.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_034.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_034.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_244_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_244_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_007.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_007.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_025.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_025.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_228.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_228.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_108.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_108.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_226.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_226.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_186.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_186.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_154.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_154.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_056.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_056.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_170.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_170.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_184.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_184.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_141.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_141.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_135.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_135.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_064.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_064.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_127.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_127.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_119.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_119.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_009.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_009.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_123.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_123.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_118.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_118.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_086.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_086.wav,gunshot,high-standard-22lr,firearms_58
