spectrogram_path,original_wav,label,gun_type,dataset,threat_level
data/processed/spectrograms/firearms_58__high-standard-22lr_132.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_132.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_160.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_160.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_150.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_150.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_080.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_080.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_266_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_266_aug_noise.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_273_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_273_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_203.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_203.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_134.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_134.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_079.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_079.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_089.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_089.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_024.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_024.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_107.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_107.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_249_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_249_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_215.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_215.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_126.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_126.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_231_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_231_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_077.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_077.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_112.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_112.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_287_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_287_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_200.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_200.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_027.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_027.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_252_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_252_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_059.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_059.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_242_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_242_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_022.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_022.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_040.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_040.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_251_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_251_aug_noise.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_004.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_004.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_084.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_084.wav,gunshot,high-standard-22lr,firearms_58,0
data/processed/spectrograms/firearms_58__high-standard-22lr_269_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_269_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58,0
